Player,Squad,Pos,Season,Games,Minutes,Goals,Assists,xG,xA,NonPenaltyGoals,Per90_G+A-PK,Shots,KeyPasses,YellowCards,RedCards
Erling Haaland,Man City,FW,2022-2023,35,2803,36,8,32.761399537324905,5.8491098545491695,29,1.1880128433820907,123,29,5,0
Harry Kane,Tottenham,FW,2022-2023,38,3414,30,3,23.06444012373686,7.547407771460712,25,0.7381370826010546,133,57,6,0
Ivan Toney,Brentford,FW,2022-2023,33,2960,20,4,21.69119757413864,4.909892840310931,14,0.5472972972972974,94,26,9,0
Mohamed Salah,Liverpool,FW,2022-2023,38,3307,19,12,23.340063713490963,8.720245610922575,17,0.7892349561536135,125,65,2,0
Callum Wilson,Newcastle,FW,2022-2023,31,1911,18,5,18.856768030673265,3.567963434383273,15,0.9419152276295133,73,24,4,0
Marcus Rashford,Man United,FW,2022-2023,35,2907,17,5,18.761760517954823,3.735412929207087,17,0.6811145510835914,108,31,2,0
Martin Odegaard,Arsenal,MF,2022-2023,37,3203,15,7,9.137760860845448,9.209956639446318,15,0.6181704651888854,93,77,4,0
Gabriel Martinelli,Arsenal,FW,2022-2023,36,2851,15,5,10.538134384900331,9.349485490471125,15,0.6313574184496668,79,59,3,0
Ollie Watkins,Aston Villa,FW,2022-2023,37,3150,15,6,17.486295863986015,3.674034003168345,14,0.5714285714285714,85,30,4,0
Aleksandar Mitrovic,Fulham,FW,2022-2023,24,2022,14,1,16.17901684064418,2.334498234093189,10,0.48961424332344217,93,15,7,0
Bukayo Saka,Arsenal,FW,2022-2023,38,3216,14,11,11.300049655139446,7.042980744503439,12,0.6436567164179104,89,75,6,0
Rodrigo,Leeds,FW,2022-2023,31,1955,13,1,8.572983920574188,2.298705962486565,12,0.59846547314578,67,16,6,0
Harvey Barnes,Leicester,FW,2022-2023,34,2738,13,1,9.120478011667728,3.107304636389017,13,0.4601899196493791,72,19,3,0
Roberto Firmino,Liverpool,FW,2022-2023,25,1203,11,4,8.122956335544586,3.0548400916159157,11,1.1221945137157108,39,21,0,0
Gabriel Jesus,Arsenal,FW,2022-2023,26,2107,11,6,16.171134389936924,4.243733491748571,10,0.68343616516374,77,31,6,0
Phil Foden,Man City,FW,2022-2023,32,1837,11,6,6.185852009803057,5.697479462251067,11,0.8328796951551443,46,44,1,0
Miguel Almirón,Newcastle,FW,2022-2023,34,2550,11,2,8.727059464901686,2.9551383573561907,11,0.45882352941176474,69,26,2,0
Son Heung-Min,Tottenham,FW,2022-2023,36,2920,10,6,9.597895424813032,6.334341483190656,10,0.4931506849315069,81,62,2,0
Alexander Isak,Newcastle,FW,2022-2023,22,1530,10,1,8.784851711243391,1.7707323329523206,8,0.5294117647058824,51,15,3,0
James Maddison,Leicester,FW,2022-2023,30,2485,10,9,8.489387180656195,7.773198906332254,9,0.6519114688128773,85,69,10,0
Taiwo Awoniyi,Nott'm Forest,FW,2022-2023,27,1426,10,1,8.0510318800807,1.02802275121212,10,0.6942496493688639,35,10,2,0
Alexis Mac Allister,Brighton,MF,2022-2023,35,2882,10,2,11.532242968678474,3.928120201453567,4,0.18736988202637056,86,47,8,0
Eberechi Eze,Crystal Palace,FW,2022-2023,38,2657,10,4,6.831764040514827,4.619440779089928,9,0.4403462551750094,70,57,3,0
Pascal Groß,Brighton,DF,2022-2023,37,3261,9,8,5.954401790164411,11.246030485257506,9,0.46918123275068996,40,80,6,0
James Ward-Prowse,Southampton,MF,2022-2023,38,3378,9,4,5.408911099657416,6.058508426882327,7,0.29307282415630553,44,72,6,0
Bryan Mbeumo,Brentford,FW,2022-2023,38,2991,9,8,10.100785619579256,7.65799580514431,8,0.48144433299899697,71,52,5,0
Darwin Núñez,Liverpool,FW,2022-2023,29,1702,9,3,14.374805428087711,5.6468874625861645,9,0.6345475910693302,84,28,1,1
Julián Álvarez,Man City,FW,2022-2023,31,1416,9,0,7.753276175819337,2.0468210969120264,8,0.5084745762711864,47,18,0,0
Ilkay Gündogan,Man City,MF,2022-2023,31,2369,8,4,7.842695340514183,3.444544769823551,8,0.4558885605740819,54,37,0,0
Danny Ings,"Aston Villa,West Ham",FW,2022-2023,35,1562,8,2,8.25754163786769,1.4635955430567265,6,0.46094750320102434,42,15,4,0
Bruno Fernandes,Man United,MF,2022-2023,37,3326,8,8,9.385456696152689,17.266709440387785,6,0.3788334335538184,92,118,6,0
Leandro Trossard,"Arsenal,Brighton",DF,2022-2023,36,2263,8,12,7.068454213440418,6.358577378094196,8,0.7954043305346884,55,47,1,0
Brennan Johnson,Nott'm Forest,FW,2022-2023,38,2952,8,3,8.266518421471119,3.7432961594313374,7,0.30487804878048785,55,28,6,0
Granit Xhaka,Arsenal,MF,2022-2023,37,3039,7,7,5.785433189943433,4.802904064767063,7,0.4146100691016782,40,46,4,0
Kevin De Bruyne,Man City,MF,2022-2023,32,2448,7,16,4.7582743894308805,16.31964398175478,7,0.8455882352941176,65,97,1,0
Wilfried Zaha,Crystal Palace,FW,2022-2023,27,2308,7,2,7.797594489529729,2.760253319516778,7,0.3509532062391681,66,26,5,0
Kai Havertz,Chelsea,FW,2022-2023,35,2613,7,1,12.77656376361847,3.5748752877116203,6,0.24110218140068884,71,38,5,0
Yoane Wissa,Brentford,FW,2022-2023,38,1583,7,3,5.207585535943508,2.6399280801415443,7,0.5685407454200885,32,13,3,0
Philip Billing,Bournemouth,FW,2022-2023,36,2822,7,1,4.894198485650122,3.457261343486607,7,0.2551381998582566,38,27,5,0
Dwight McNeil,Everton,DF,2022-2023,36,2512,7,3,3.871220519766212,7.44360885117203,7,0.35828025477707004,46,51,5,0
Diogo Jota,Liverpool,FW,2022-2023,22,1132,7,4,6.437793597579002,1.7756053674966097,7,0.8745583038869258,35,17,2,0
Kaoru Mitoma,Brighton,DF,2022-2023,33,2306,7,5,9.245785741135478,7.035773795098066,7,0.4683434518647008,52,40,0,0
Cody Gakpo,Liverpool,FW,2022-2023,21,1483,7,2,6.554539561271668,2.981710772961378,7,0.5461901550910316,39,23,0,0
Joelinton,Newcastle,FW,2022-2023,32,2677,6,1,6.252544686198235,3.116438364610076,6,0.23533806499813226,51,26,12,0
Danny Welbeck,Brighton,FW,2022-2023,31,1868,6,3,9.550176788121462,5.098056230694056,6,0.4336188436830835,62,30,0,0
Anthony Martial,Man United,FW,2022-2023,21,987,6,2,7.3281096909195185,1.756760749965906,5,0.6382978723404256,27,12,0,0
Raheem Sterling,Chelsea,DF,2022-2023,28,1919,6,3,7.405153378844261,4.861129405908287,6,0.42209484106305367,41,34,4,0
Dominic Solanke,Bournemouth,FW,2022-2023,33,2874,6,7,9.317674346268175,3.957623152993619,6,0.407098121085595,76,21,2,0
Jarrod Bowen,West Ham,FW,2022-2023,38,3245,6,5,10.004229810088871,6.90739019960165,5,0.2773497688751926,75,48,2,0
Said Benrahma,West Ham,FW,2022-2023,35,2070,6,3,6.350573148578405,4.756499437615275,2,0.21739130434782608,73,48,0,0
Solly March,Brighton,DF,2022-2023,33,2745,6,7,8.069857582449913,9.567008880898356,6,0.4262295081967213,73,65,2,0
Douglas Luiz,Aston Villa,MF,2022-2023,37,2947,6,6,3.191290902905166,4.567880779504776,6,0.3664743807261622,34,45,6,1
Jadon Sancho,Man United,FW,2022-2023,26,1710,6,3,3.789094930514693,4.790035545825958,6,0.47368421052631576,21,43,0,0
Rúben Neves,Wolves,DF,2022-2023,35,3022,6,1,5.006285472773016,1.8384296027943487,3,0.11912640635340835,67,32,12,0
Daniel Podence,Wolves,FW,2022-2023,32,1769,6,0,3.7195267919451,2.4171172585338354,6,0.30525720746184287,43,37,5,0
Jacob Ramsey,Aston Villa,MF,2022-2023,35,2675,6,7,5.228078290820122,5.728406075388193,6,0.4373831775700935,33,42,5,0
Evan Ferguson,Brighton,FW,2022-2023,19,950,6,2,5.667327303439379,0.6870213840156794,6,0.7578947368421053,36,11,1,0
